pred_state,real_prev
AR,0.164716721599528
CA,0.0925486930642431
CT,0.108645705545499
DE,0.097056146173239
FL,0.114229506333363
HI,0.084827967863696
IA,0.0843048203847791
IL,0.103153845097944
KY,0.108983968339538
MA,0.107045536014528
ME,0.106877310880908
MI,0.0951991941484635
NC,0.114583459158129
NE,0.0783836587118
NH,0.0766525795223136
NM,0.100798764380706
NV,0.136435122523803
NY,0.098551826914993
OK,0.108776626641322
PA,0.0940179120970351
RI,0.0987235984912112
SC,0.0945111994260459
TX,0.0905866325621198
VT,0.0914041048756579
WI,0.0802371356997158
WV,0.0921107531673746
