real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n
0.0511845573185834,0.0528680211235335,0.052845976500331,Using Identity Responses,2013,IL,gbrt,1522
0.0567389968190433,0.0557222261666061,0.0556562177253483,Using Identity Responses,2015,IL,gbrt,1634
0.0474918238932384,0.0440346837114234,0.0440346837114234,Using Identity Responses,2017,IL,gbrt,2388
0.0511845573185834,0.0496327811156103,0.0496611786323353,Not Using Identity Responses,2013,IL,gbrt,1522
0.0567389968190433,0.0453224676259805,0.0453265949740321,Not Using Identity Responses,2015,IL,gbrt,1634
0.0474918238932384,0.0418437667894786,0.0418437667894786,Not Using Identity Responses,2017,IL,gbrt,2388
