real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n
0.055827309140966,0.0733410146849978,0.0732404142169456,Using Identity Responses,2013,NC,rf,1846
0.0692219209963767,0.0783496399165167,0.0780892076160983,Using Identity Responses,2015,NC,rf,6178
0.0818405304321545,0.0832409115805379,0.0832409115805379,Using Identity Responses,2017,NC,rf,3151
0.055827309140966,0.0689867070054203,0.069129987730295,Not Using Identity Responses,2013,NC,rf,1846
0.0692219209963767,0.072453439708475,0.0724646073499048,Not Using Identity Responses,2015,NC,rf,6178
0.0818405304321545,0.0721044704002107,0.0721044704002107,Not Using Identity Responses,2017,NC,rf,3151
