real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n
0.0724994606642105,0.0958975332987538,0.0965294103298727,Not Using Identity Responses,2013,KY,rf,783
0.127547383859589,0.126241877363296,0.125254856453097,Using Identity Responses,2015,KY,rf,1317
0.108983968339538,0.113690841048735,0.113690841048735,Using Identity Responses,2017,KY,rf,1020
0.127547383859589,0.104755346477511,0.105256555177219,Not Using Identity Responses,2015,KY,rf,1317
0.108983968339538,0.0956394091422013,0.0956394091422013,Not Using Identity Responses,2017,KY,rf,1020
