real_prop,pred_prop,pred_prop_2017,predset,year,pred_state,model,n
0.104433093085972,0.126882912640759,0.123143989663796,Using Identity Responses,2015,NM,ridgelog,4268
0.100798764380706,0.139549832233397,0.139549832233397,Using Identity Responses,2017,NM,ridgelog,2924
0.104433093085972,0.110524822287405,0.106488949411918,Not Using Identity Responses,2015,NM,ridgelog,4268
0.100798764380706,0.12013273990536,0.12013273990536,Not Using Identity Responses,2017,NM,ridgelog,2924
